"di_id","year","budget.type","l1","l2","l3","l4","l5","l6","value","magnitude","child.value.sum","absdiff"
"GM",2020,"proj","financing","net-external-finance",,,,,1.199,1e+09,3.904,2.705
"VN",2011,"actual","financing","net-external-finance",,,,,5.6,1e+13,2.9,2.7
"NG",2016,"actual","total-expenditure","federal-government-expenditure",,,,,46.95,1e+11,49.65,2.7
"MG",2022,"proj","financing","net-external-finance",,,,,2.069694,1e+12,4.766568,2.696874
"GM",2020,"proj","financing","net-external-finance",,,,,1.229,1e+09,3.904,2.675
"NE",2022,"proj","total-revenue-and-grants","grants",,,,,4.387,1e+11,7.05,2.663
"MU",2015,"actual","total-expenditure","recurrent-expenditure",,,,,89.858,1e+09,87.208,2.65000000000001
"GM",2020,"proj","financing","net-external-finance",,,,,1.262,1e+09,3.904,2.642
"ve",2006,"proj","total-expenditure","current-expenditure",,,,,8.909855091,1e+10,11.5445221893,2.6346670983
"ve",2006,"proj","total-expenditure",,,,,,11.544522189,1e+10,8.909855091,2.634667098
"CM",2003,"actual","financing","net-external-finance","drawings",,,,3.69,1e+11,1.09,2.6
"ZM",2019,"proj","total-expenditure","capital-expenditure",,,,,5.315,1e+09,7.914,2.599
"NE",2021,"proj","total-revenue-and-grants","grants",,,,,4.21,1e+11,6.803,2.593
"BF",2019,"proj","financing",,,,,,0,1e+11,2.59,2.59
"NE",2008,"actual","total-revenue-and-grants","grants",,,,,14.19,1e+10,16.76,2.57
"MG",2020,"proj","financing","net-external-finance",,,,,2.972674,1e+12,5.535324,2.56265
"HN",2007,"actual","financing","domestic-financing",,,,,0,1e+09,2.560987,2.560987
"FM",2003,"actual","total-expenditure","recurrent-expenditure",,,,,13.83,1e+07,16.39,2.56
"BI",2007,"actual","financing","net-external-finance",,,,,-0.93,1e+10,1.63,2.56
"MG",2023,"proj","financing","net-external-finance",,,,,1.7266,1e+12,4.281968,2.555368
"MR",2016,"actual","total-revenue-and-grants","grants",,,,,3.13,1e+07,0.63,2.5
"MG",2003,"actual","financing","net-external-finance",,,,,1.916,1e+11,4.408,2.492
"BI",2010,"actual","total-expenditure","capital-expenditure",,,,,2.989,1e+11,0.506,2.483
"TJ",2016,"actual","financing","net-external-finance",,,,,1.525188,1e+09,3.976383,2.451195
"BI",2006,"actual","financing","net-external-finance",,,,,0.64,1e+10,3.08,2.44
"MR",2013,"actual","financing","net-external-finance","other",,,,2.71,1e+07,5.09,2.38
"HN",2001,"actual","financing","domestic-financing",,,,,0.355248,1e+09,2.723568,2.36832
"TN",2015,"actual","financing","net-external-finance",,,,,4.285,1e+09,6.639,2.354
"TG",2013,"actual","total-expenditure","recurrent-expenditure","other-current",,,,-0.01,1e+10,2.34,2.35
